mode seconds mbs
skip-tx 153 0.00
skip-tx 154 0.00
skip-tx 155 0.00
skip-tx 156 0.00
skip-tx 157 0.00
skip-tx 158 0.00
skip-tx 159 0.00
skip-tx 160 0.00
skip-tx 161 0.00
skip-tx 162 0.00
skip-tx 163 0.00
skip-tx 164 0.00
skip-tx 165 0.00
skip-tx 166 0.00
skip-tx 167 0.00
skip-tx 168 0.00
skip-tx 169 0.00
skip-tx 170 0.00
skip-tx 171 0.00
skip-tx 172 0.00
skip-tx 173 0.00
skip-tx 174 0.00
skip-tx 175 0.00
skip-tx 176 0.00
skip-tx 177 0.00
skip-tx 178 0.00
skip-tx 179 0.00
skip-tx 180 0.00
skip-tx 181 0.00
skip-tx 182 0.00
skip-tx 183 0.00
skip-tx 184 0.00
skip-tx 185 0.00
skip-tx 186 0.00
skip-tx 187 0.00
skip-tx 188 0.00
skip-tx 189 0.00
skip-tx 190 0.00
skip-tx 191 0.00
skip-tx 192 0.00
skip-tx 193 0.00
skip-tx 194 0.00
skip-tx 195 0.00
skip-tx 196 0.00
skip-tx 197 0.00
skip-tx 198 0.00
skip-tx 199 0.00
skip-tx 200 0.00
